Latitude,Longitude,Cluster
46.351164,-72.547689,88
45.95983165,-66.6354083,33
46.09403723,-64.77409546,45
45.51682675,-75.39123787,95
53.5962735,-109.5710366,-1
49.8859913,-97.14183251,101
47.395967,-61.801087,5
44.24023862,-76.46201173,77
44.7523751,-63.66426385,41
45.3993589,-64.3242737,-1
48.8823635,-123.3507695,70
49.69247855,-112.847072,54
46.16381775,-62.6469791,26
43.65213914,-79.39087786,142
43.66799378,-79.39351276,142
45.9146454,-77.285804,68
45.401857,-75.70510981,-1
47.0994342,-55.7521184,8
43.63773631,-79.69752053,-1
46.086719,-73.191293,76
55.7545775,-117.338011,3
46.19746038,-59.95810562,31
51.04504775,-114.0612624,83
45.36159454,-74.81812367,-1
49.276261,-123.144436,123
43.25281421,-79.10324617,117
54.398183,-109.2278398,20
45.9159316,-82.4633025,15
45.23354458,-75.90627281,-1
43.45225084,-80.48663645,113
45.50336,-73.570951,140
47.0454494,-67.7397905,-1
44.68646,-66.76508861,18
55.17142016,-118.8073319,3
54.8794297,-126.2037905,4
49.8817415,-97.193665,100
49.8707636,-113.509925,54
49.2638926,-123.1386339,122
49.8733031,-106.5573021,66
46.2091041,-60.6012127,31
43.7584065,-79.8791246,-1
46.093938,-64.77467849,45
50.2751643,-119.272184,-1
48.43157805,-123.3605691,70
48.369878,-53.359843,10
44.9887375,-64.8989627,48
50.4113615,-102.9346619,-1
45.4080325,-64.548446,-1
44.3902912,-79.6855938,-1
44.52296462,-80.94050219,102
43.19352583,-79.56635328,-1
49.2111385,-119.7879308,80
47.019983,-70.673533,58
47.5727995,-59.1379512,-1
45.41349969,-75.70677179,-1
49.276361,-123.144299,123
53.248381,-131.9984043,4
47.448993,-79.6373419,19
43.17635,-79.2529217,118
42.9538685,-79.8575744,-1
45.055408,-78.52097,-1
44.98969217,-64.13918576,48
43.5759061,-80.10860194,-1
43.6502563,-79.8978972,-1
43.50743362,-79.94368811,-1
43.24352778,-79.825751,135
43.26818144,-79.88471105,135
43.25651609,-79.77199667,135
44.04518301,-64.72048888,35
51.6488651,-111.9229417,-1
49.0365269,-118.4778188,-1
51.7345594,-107.5836778,-1
49.4787242,-100.5203922,-1
49.5159503,-56.0131234,7
44.1635581,-77.3816004,78
49.272817,-123.185988,109
45.28941788,-66.05663409,32
48.43031565,-123.4796493,70
45.27192208,-66.05957961,32
55.2564258,-127.6771574,4
49.8970692,-97.1402878,101
45.51772458,-75.39039396,95
44.24515175,-76.52295633,77
53.3647279,-113.7292024,107
49.3591867,-120.0777073,-1
50.4255921,-107.2247366,67
50.4263165,-107.2201894,67
52.7539215,-108.2645261,-1
49.6302497,-105.9865224,66
44.8916604,-76.0055317,75
55.7431532,-97.8392023,-1
43.2289414,-79.9897892,135
49.2844721,-123.1081528,-1
